"StoreID"||"StoreName"||"StoreAddress"||"City"||"StProv"||"Country"||"Status"||"SiteType"
"104006"||"104006 - Clarendon"||"552 Marquette Road"||"Saint Paul"||"MN"||"United States"||"Open"||"Store"
"104007"||"104007 - Main"||"5778 Granby Center"||"Akron"||"OH"||"United States"||"Open"||"Store"
"104008"||"104008 - Delaware"||"56426 Messerschmidt Alley"||"Fairbanks"||"AK"||"United States"||"Open"||"Store"
"104009"||"104009 - Elmside"||"87435 Golden Leaf Lane"||"Augusta"||"GA"||"United States"||"Open"||"Store"
"104010"||"104010 - Brown"||"18 Cardinal Street"||"Billings"||"MT"||"United States"||"Open"||"Store"
"104011"||"104011 - Tennessee"||"9 Pennsylvania Terrace"||"Rochester"||"NY"||"United States"||"Open"||"Store"
"104012"||"104012 - Longview"||"75 Pleasure Alley"||"Cincinnati"||"OH"||"United States"||"Open"||"Store"
"104013"||"104013 - Vera"||"009 Grasskamp Parkway"||"Sioux Falls"||"SD"||"United States"||"Open"||"Store"
"104014"||"104014 - Pennsylvania"||"7670 Mandrake Road"||"Baltimore"||"MD"||"United States"||"Open"||"Store"
"104015"||"104015 - Burrows"||"9 Corry Junction"||"Cambridge"||"MA"||"United States"||"Open"||"Store"
"104016"||"104016 - Oneill"||"5986 Vernon Point"||"Bethesda"||"MD"||"United States"||"Open"||"Store"
"104142"||"104142 - Del Mar"||"2 Division Place"||"Los Angeles"||"CA"||"United States"||"Open"||"Store"
"104143"||"104143 - Crescent Oaks"||"87 Norway Maple Plaza"||"New Castle"||"PA"||"United States"||"Open"||"Store"
"104144"||"104144 - Bunker Hill"||"23437 Lunder Pass"||"Detroit"||"MI"||"United States"||"Open"||"Store"
"104145"||"104145 - Haas"||"53 Annamark Street"||"Dallas"||"TX"||"United States"||"Open"||"Store"
"104146"||"104146 - East"||"432 Rieder Circle"||"Washington"||"DC"||"United States"||"Open"||"Store"
"104147"||"104147 - Katie"||"7339 Acker Lane"||"Cincinnati"||"OH"||"United States"||"Open"||"Store"
"104148"||"104148 - Kim"||"466 Service Hill"||"Chicago"||"IL"||"United States"||"Open"||"Store"
"104149"||"104149 - Hollow Ridge"||"70 Corben Park"||"Sacramento"||"CA"||"United States"||"Open"||"Store"
"104150"||"104150 - Sachtjen"||"79 Park Meadow Terrace"||"Springfield"||"IL"||"United States"||"Open"||"Store"
"104151"||"104151 - Weeping Birch"||"006 Lake View Place"||"Louisville"||"KY"||"United States"||"Open"||"Store"
"104152"||"104152 - Fieldstone"||"041 Rusk Place"||"Albuquerque"||"NM"||"United States"||"Open"||"Store"
"104153"||"104153 - Butternut"||"1190 Mandrake Circle"||"Dallas"||"TX"||"United States"||"Open"||"Store"
"104154"||"104154 - Lakeland"||"2 Ridgeview Hill"||"Spring"||"TX"||"United States"||"Open"||"Store"
"104155"||"104155 - Nobel"||"04 Fordem Circle"||"Fort Smith"||"AR"||"United States"||"Open"||"Store"
"104156"||"104156 - Luster"||"474 Maryland Street"||"Detroit"||"MI"||"United States"||"Open"||"Store"
"104157"||"104157 - Twin Pines"||"96051 Jenifer Park"||"Pittsburgh"||"PA"||"United States"||"Open"||"Store"
"104158"||"104158 - Old Gate"||"72987 Spenser Court"||"South Bend"||"IN"||"United States"||"Open"||"Store"
"104159"||"104159 - Bonner"||"907 Bashford Way"||"Houston"||"TX"||"United States"||"Open"||"Store"
"104160"||"104160 - Marquette"||"0009 Melody Alley"||"Santa Cruz"||"CA"||"United States"||"Open"||"Store"
"104161"||"104161 - Elka"||"25500 Prentice Road"||"Trenton"||"NJ"||"United States"||"Open"||"Store"
"104162"||"104162 - Spaight"||"5968 Grayhawk Way"||"El Paso"||"TX"||"United States"||"Open"||"Store"
"104163"||"104163 - Eastlawn"||"28 Fremont Parkway"||"Lancaster"||"PA"||"United States"||"Open"||"Store"
"104164"||"104164 - Logan"||"9169 Paget Center"||"Boston"||"MA"||"United States"||"Open"||"Store"
"104165"||"104165 - Oak"||"156 Nevada Junction"||"Richmond"||"VA"||"United States"||"Open"||"Store"
"104166"||"104166 - Hayes"||"1388 Hoepker Trail"||"Omaha"||"NE"||"United States"||"Open"||"Store"
"104167"||"104167 - Sachs"||"63927 Dryden Crossing"||"Sioux Falls"||"SD"||"United States"||"Open"||"Store"
"104168"||"104168 - Eliot"||"14799 Reindahl Crossing"||"Jamaica"||"NY"||"United States"||"Open"||"Store"
"104169"||"104169 - Morning"||"8 Waxwing Center"||"Carol Stream"||"IL"||"United States"||"Open"||"Store"
"104170"||"104170 - Eastwood"||"6 Oak Valley Point"||"Charlotte"||"NC"||"United States"||"Open"||"Store"
"104171"||"104171 - Spenser"||"3683 Monica Hill"||"White Plains"||"NY"||"United States"||"Open"||"Store"
"104172"||"104172 - Vera"||"734 Sage Plaza"||"Little Rock"||"AR"||"United States"||"Open"||"Store"
"104173"||"104173 - Transport"||"8 Merrick Street"||"New York City"||"NY"||"United States"||"Open"||"Store"
"104174"||"104174 - Aberg"||"8 Leroy Drive"||"Jackson"||"MS"||"United States"||"Open"||"Store"
"104175"||"104175 - Truax"||"6781 Hagan Junction"||"San Jose"||"CA"||"United States"||"Open"||"Store"
"-90000355"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000354"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000353"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000352"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000351"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000350"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000349"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000348"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000347"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000346"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000345"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000344"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000343"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000342"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000341"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000340"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000339"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000338"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000337"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000336"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000335"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000334"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000333"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000332"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000331"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000330"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000329"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000328"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000327"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000326"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000325"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000324"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000323"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000322"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000321"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000320"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001090"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001089"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001088"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001087"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001086"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001085"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001084"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001083"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001082"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001081"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001080"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001079"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001078"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001077"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001076"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001075"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001074"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001073"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001072"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001071"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001070"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001069"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001068"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001067"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001066"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001065"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001064"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001063"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001062"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001061"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001060"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001059"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001058"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001057"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001056"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"103726"||"103726 - Sutherland"||"535 8th Lane"||"Dallas"||"TX"||"United States"||"Open"||"Store"
"103727"||"103727 - Manley"||"9 Rigney Drive"||"El Paso"||"TX"||"United States"||"Open"||"Store"
"103728"||"103728 - Hollow Ridge"||"6 Duke Trail"||"Topeka"||"KS"||"United States"||"Open"||"Store"
"103729"||"103729 - Express"||"78 Helena Terrace"||"Saint Louis"||"MO"||"United States"||"Closed"||"Store"
"103730"||"103730 - Merry"||"7225 Northview Pass"||"Dallas"||"TX"||"United States"||"Open"||"Store"
"103731"||"103731 - Maywood"||"35311 Monument Court"||"San Diego"||"CA"||"United States"||"Closed"||"Store"
"103732"||"103732 - Knutson"||"9 Park Meadow Junction"||"Houston"||"TX"||"United States"||"Open"||"Store"
"103733"||"103733 - Sullivan"||"7326 Washington Junction"||"Dallas"||"TX"||"United States"||"Open"||"Store"
"103734"||"103734 - 7th"||"26 Bobwhite Crossing"||"Birmingham"||"AL"||"United States"||"Open"||"Store"
"103735"||"103735 - Continental"||"39 Mariners Cove Plaza"||"Jackson"||"MS"||"United States"||"Open"||"Store"
"103736"||"103736 - Esch"||"1279 Sachtjen Center"||"New York City"||"NY"||"United States"||"Closed"||"Store"
"103737"||"103737 - Kenwood"||"452 Maywood Road"||"Las Vegas"||"NV"||"United States"||"Open"||"Store"
"103738"||"103738 - Debs"||"598 Arrowood Circle"||"Cincinnati"||"OH"||"United States"||"Open"||"Store"
"103739"||"103739 - Claremont"||"151 Mariners Cove Way"||"Carson City"||"NV"||"United States"||"Open"||"Store"
"103740"||"103740 - David"||"578 Stuart Crossing"||"Oxnard"||"CA"||"United States"||"Open"||"Store"
"103741"||"103741 - Glendale"||"0243 Mockingbird Way"||"Des Moines"||"IA"||"United States"||"Open"||"Store"
"103742"||"103742 - Warbler"||"998 Charing Cross Alley"||"New Hyde Park"||"NY"||"United States"||"Open"||"Store"
"103743"||"103743 - Vermont"||"61 Blaine Drive"||"Akron"||"OH"||"United States"||"Open"||"Store"
"103744"||"103744 - Coleman"||"56 Drewry Road"||"San Francisco"||"CA"||"United States"||"Closed"||"Store"
"103745"||"103745 - Sunbrook"||"125 Eastwood Circle"||"Hicksville"||"NY"||"United States"||"Open"||"Store"
"103746"||"103746 - Sommers"||"94 Novick Point"||"San Antonio"||"TX"||"United States"||"Open"||"Store"
"103747"||"103747 - Everett"||"5 Dwight Circle"||"Pittsburgh"||"PA"||"United States"||"Closed"||"Store"
"103748"||"103748 - North"||"1939 School Place"||"Hialeah"||"FL"||"United States"||"Open"||"Store"
"103835"||"103835 - Pleasure"||"15 Derek Center"||"San Jose"||"CA"||"United States"||"Open"||"Store"
"103836"||"103836 - Mandrake"||"8390 Lindbergh Drive"||"Phoenix"||"AZ"||"United States"||"Open"||"Store"
"103837"||"103837 - Linden"||"9 Armistice Crossing"||"Anchorage"||"AK"||"United States"||"Open"||"Store"
"103838"||"103838 - Randy"||"017 Green Junction"||"New York City"||"NY"||"United States"||"Open"||"Store"
"103839"||"103839 - Roth"||"91806 Bayside Trail"||"Philadelphia"||"PA"||"United States"||"Open"||"Store"
"103840"||"103840 - Miller"||"968 Trailsway Terrace"||"Largo"||"FL"||"United States"||"Open"||"Store"
"103841"||"103841 - Corben"||"5 Ridgeview Drive"||"Houston"||"TX"||"United States"||"Closed"||"Store"
"103842"||"103842 - Little Fleur"||"494 Delaware Lane"||"Greensboro"||"NC"||"United States"||"Open"||"Store"
"103843"||"103843 - Hanover"||"71 Marquette Lane"||"Port Charlotte"||"FL"||"United States"||"Open"||"Store"
"103844"||"103844 - Prairie Rose"||"7 Melody Plaza"||"Beaumont"||"TX"||"United States"||"Open"||"Store"
"103845"||"103845 - Springs"||"933 Valley Edge Junction"||"Boulder"||"CO"||"United States"||"Open"||"Store"
"103846"||"103846 - Kennedy"||"5 Montana Circle"||"Gainesville"||"FL"||"United States"||"Open"||"Store"
"103847"||"103847 - Pine View"||"56 Knutson Circle"||"Memphis"||"TN"||"United States"||"Open"||"Store"
"103848"||"103848 - Moulton"||"98917 Loeprich Trail"||"Miami"||"FL"||"United States"||"Open"||"Store"
"103849"||"103849 - Starling"||"903 Meadow Vale Point"||"Bronx"||"NY"||"United States"||"Open"||"Store"
"103850"||"103850 - Harbort"||"26 Corben Way"||"San Jose"||"CA"||"United States"||"Open"||"Store"
"103851"||"103851 - Drewry"||"1758 Express Road"||"Springfield"||"IL"||"United States"||"Open"||"Store"
"103852"||"103852 - Muir"||"6231 Butternut Alley"||"Aiken"||"SC"||"United States"||"Open"||"Store"
"103853"||"103853 - Vermont"||"841 Dwight Avenue"||"New York City"||"NY"||"United States"||"Open"||"Store"
"103854"||"103854 - Manley"||"665 Hagan Street"||"Macon"||"GA"||"United States"||"Open"||"Store"
"103855"||"103855 - Westport"||"209 Emmet Park"||"New Orleans"||"LA"||"United States"||"Open"||"Store"
"103856"||"103856 - Algoma"||"522 Russell Way"||"Fresno"||"CA"||"United States"||"Open"||"Store"
"103857"||"103857 - Kennedy"||"68892 Beilfuss Plaza"||"Richmond"||"VA"||"United States"||"Closed"||"Store"
"103858"||"103858 - Bowman"||"4242 Gerald Way"||"Seattle"||"WA"||"United States"||"Open"||"Store"
"103859"||"103859 - International"||"826 Maple Way"||"West Hartford"||"CT"||"United States"||"Open"||"Store"
"103860"||"103860 - Coleman"||"844 South Avenue"||"Sioux Falls"||"SD"||"United States"||"Open"||"Store"
"103861"||"103861 - Vidon"||"58 Fairfield Court"||"Des Moines"||"IA"||"United States"||"Open"||"Store"
"103862"||"103862 - Loomis"||"5 1st Plaza"||"Waco"||"TX"||"United States"||"Open"||"Store"
"103863"||"103863 - Burrows"||"62 Old Shore Parkway"||"Palm Bay"||"FL"||"United States"||"Open"||"Store"
"103864"||"103864 - Debs"||"90643 Amoth Pass"||"Arlington"||"VA"||"United States"||"Open"||"Store"
"103865"||"103865 - Portage"||"50 Banding Lane"||"Sacramento"||"CA"||"United States"||"Open"||"Store"
"103866"||"103866 - Autumn Leaf"||"65253 6th Drive"||"Oakland"||"CA"||"United States"||"Open"||"Store"
"103867"||"103867 - Talisman"||"9 Blaine Junction"||"Nashville"||"TN"||"United States"||"Open"||"Store"
"103868"||"103868 - Bonner"||"0110 Linden Road"||"Fayetteville"||"NC"||"United States"||"Open"||"Store"
"103869"||"103869 - Cardinal"||"76 Pepper Wood Avenue"||"Saint Cloud"||"MN"||"United States"||"Open"||"Store"
"103870"||"103870 - Anhalt"||"7 Mifflin Drive"||"Canton"||"OH"||"United States"||"Open"||"Store"
"103871"||"103871 - Beilfuss"||"89062 Debs Trail"||"Fort Wayne"||"IN"||"United States"||"Open"||"Store"
"103872"||"103872 - Jackson"||"7 Melby Terrace"||"Jacksonville"||"FL"||"United States"||"Open"||"Store"
"103873"||"103873 - Mayer"||"47770 Springs Point"||"Schaumburg"||"IL"||"United States"||"Open"||"Store"
"-90001001"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90001000"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000999"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000998"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000997"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000996"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000995"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000994"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000993"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000992"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000991"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000990"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000989"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000988"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000987"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000986"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000985"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000984"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000983"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000982"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000981"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000980"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000979"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000978"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000977"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000976"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000975"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000974"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000973"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000972"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000971"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000970"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000875"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000874"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000873"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000872"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000871"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000870"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000869"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000868"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000867"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000866"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000865"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000864"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000863"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000862"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000861"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000860"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000859"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000858"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000857"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000856"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000855"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000854"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000853"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000852"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000851"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
"-90000850"||"Management Site"||"n/a"||"n/a"||"n/a"||"n/a"||"Not Applicable"||"Management"
