"AccountID"||"AccountName"||"StatementType"||"IsCalculated"||"DivisorAccountID"||"DisplayOrder"
"370"||"Building D&A"||"PL"||"0"||"10"||"380"
"380"||"Equipment D&A"||"PL"||"0"||"10"||"390"
"390"||"Other D&A"||"PL"||"0"||"10"||"400"
"400"||"Finance Lease D&A"||"PL"||"0"||"10"||"410"
"410"||"Restaurant D&A"||"PL"||"1"||"10"||"420"
"420"||"Financing Expenses"||"PL"||"1"||"10"||"430"
"430"||"Loss (Gain) on Sale of Assets"||"PL"||"0"||"10"||"440"
"440"||"Store Operating Income"||"PL"||"1"||"10"||"450"
"450"||"Restaurant Cash Flow"||"PL"||"1"||"10"||"460"
"460"||"Owner Draw"||"PL"||"0"||"10"||"470"
"470"||"Other G&A"||"PL"||"0"||"10"||"480"
"480"||"Other Non-Operating G&A"||"PL"||"0"||"10"||"490"
"10010"||"Cash on Hand/Overdraft"||"BS"||"0"||"10"||"10010"
"10020"||"Marketable Securities"||"BS"||"0"||"10"||"10020"
"10030"||"Receivables"||"BS"||"0"||"10"||"10030"
"10040"||"Inventories"||"BS"||"0"||"10"||"10040"
"10050"||"Prepayments"||"BS"||"0"||"10"||"10050"
"10060"||"Total Current Assets"||"BS"||"1"||"10"||"10060"
"10070"||"Equipment/Sign/Seating/Décor/LHI"||"BS"||"0"||"10"||"10070"
"10080"||"Vehicle & Office"||"BS"||"0"||"10"||"10080"
"10090"||"Non-Restaurant Building/Equipment/Land"||"BS"||"0"||"10"||"10090"
"10100"||"Accumulated Depreciation"||"BS"||"0"||"10"||"10100"
"10110"||"Total Fixed Assets"||"BS"||"1"||"10"||"10110"
"10120"||"Owner/Shareholder Receivable"||"BS"||"0"||"10"||"10120"
"10130"||"Other Assets/Deposits/Franchise Fees"||"BS"||"0"||"10"||"10130"
"10140"||"Accumulated Amortization"||"BS"||"0"||"10"||"10140"
"10150"||"Total Other Assets"||"BS"||"1"||"10"||"10150"
"10160"||"Total Assets"||"BS"||"1"||"10"||"10160"
"10170"||"Current Portion of Long Term Debt"||"BS"||"0"||"10"||"10170"
"10180"||"Current Portion of Non-Restaurant Long Term Debt"||"BS"||"0"||"10"||"10180"
"10190"||"Current Portion of Other Debt"||"BS"||"0"||"10"||"10190"
"10200"||"Trade Accounts Payables"||"BS"||"0"||"10"||"10200"
"10210"||"Accrued Liabilities"||"BS"||"0"||"10"||"10210"
"10220"||"Total Current Liabilities"||"BS"||"1"||"10"||"10220"
"10230"||"Long Term Debt"||"BS"||"0"||"10"||"10230"
"10240"||"Non-Restaurant Long Term Debt"||"BS"||"0"||"10"||"10240"
"10250"||"Other LT Debt"||"BS"||"0"||"10"||"10250"
"10260"||"Miscellaneous Payables"||"BS"||"0"||"10"||"10260"
"10270"||"Owner/Shareholder Notes Payable"||"BS"||"0"||"10"||"10270"
"10280"||"Total Long Term Liabilities"||"BS"||"1"||"10"||"10280"
"10290"||"Total Liabilities"||"BS"||"1"||"10"||"10290"
"10300"||"Capital"||"BS"||"0"||"10"||"10300"
"10310"||"Retained Earnings"||"BS"||"0"||"10"||"10310"
"10320"||"Current Profit/Loss"||"BS"||"0"||"10"||"10320"
"10330"||"Draw/Dividends/Distributions"||"BS"||"0"||"10"||"10330"
"10340"||"Total Equity"||"BS"||"1"||"10"||"10340"
"10350"||"Total Liabilities & Equity"||"BS"||"1"||"10"||"10350"
